"name","genre","menu","address","phone","update"
"シチリア料理　クッカーニャ　（イタリアン）","イタリアン","◆テイクアウト
・シチリアランチBOX（日替わり）　￥1300

※電話による注文予約可
※テイクアウトは11：30～16：00でご利用いただけます。
※当面の間ディナーはご予約があれば営業致します。","大阪府豊中市寺内1-5-7 メゾン緑地1F","06-6867-0830","2020/04/09"
"黒毛和牛焼肉 韓国家庭料理 こだわり亭　（焼肉／韓国料理）","焼肉／韓国料理","◆テイクアウト
・キムチ盛り(￥594)
・和牛ハラミ(￥961)
・サムゲタンハーフ(￥1501)

※予約が必須
※ドリンク以外の全メニューテイクアウトできます！
※一部メニューは、お鍋などの持参をお願いいたします。
※気軽にお電話下さい^ ^","大阪府豊中市寺内2丁目10-8 緑地八番館ビル1F","06-6862-8686","2020/04/11"
"ピッツェリア ダ マリオ　（ナポリピッツァ専門店）","ナポリピッツァ専門店","◆テイクアウト
・マルゲリータ(￥980)
・カプリチョーザ(￥1480)
・クワトロフォルマッジ(￥1580)
※価格は税込み

※電話による注文予約可
※ピッツァメニューは20種類以上ご用意しています。
※緊急事態宣言中は、営業時間を短縮しています。　
※昼の部11:30～14:00　夜の部17:30～20:00
※事前にご予約頂くとスムーズにお渡し出来ます。","大阪府豊中市寺内2-2-22","06-4866-6522","2020/04/19"
"三田屋本店豊中　（ステーキ）","ステーキ","◆テイクアウト　※価格は税込み
・笑家弁当(￥3024)
・オードブルセット(￥2160)
・ハラミステーキ弁当(￥2160)

※電話による注文予約可
※事前にご予約いただくとスムーズにお渡しできます。","大阪府豊中市西泉丘3-8-12","06-6867-6780","2020/05/02"
"讃岐製麺(豊中夕日丘店）　　（和食）","和食","◆テイクアウト　※価格は税別
・海老天丼(￥380)
・鶏玉天丼(￥380)
・カレー丼(￥340)

※電話による注文予約可
","大阪府豊中市夕日丘１丁目２－１７","06-6850-3961","2020/05/02"
"手包み餃子と中華キッチンひげ　（中華）","中華","◆テイクアウト
・焼き餃子2人前14個 (￥540)
・餃子弁当 (￥750)
・中華惣菜いろいろ (￥550～￥850)
","大阪府豊中市東泉丘2-6-26","090-8120-1344","2020/04/06"
"Makers+ cafe　（カフェ）","カフェ","◆テイクアウト　※価格は税込み
・シェフの気まぐれハンバーガー(ポテト付き) テイクアウトさらに応援価格(￥864）　　定番ドリンクセット￥１，０８０
・スパイスチキンカレー(￥810）
・グリーンカレー(￥810)
・餡ソフト(￥648)
・餡ミルク(￥648)
・各種パン(￥248～)
※トヨナカモナカ(餡と最中のセット)もテイクアウトでご用意しております。

※電話による注文予約可
※テイクアウトに対応できないメニューもございます。","大阪府豊中市東豊中町5-39-8","06-6836-9100","2020/04/20"
"中国鮮家響鈴　（中国料理）","中国料理","◆テイクアウト
・カニ焼売(￥200)
・カニとレタスのチャーハン(￥1000)
・黒酢酢豚弁当(￥1200)

※テイクアウトはその他のメニューもたくさんご用意しております。
※事前にご予約頂くとスムーズにお渡し出来ます。
","大阪府豊中市新千里南町3－1－24 桃山台グリーンピア1階","06-6832-2888","2020/04/18"
"からあげ専門店FUJI 千里桃山台店（からあげ／カレー／バーガー）","からあげ／カレー／バーガー","◆テイクアウト
・モモからあげ(￥270)
・ムネからあげ(￥216)
・チキンバーガー(￥496)(土、日)

※電話による注文予約可
※出前館対応可
","大阪府豊中市新千里南町2-5-16","","2020/04/12"
"La cuisine francaise KAMIKAWA　（フレンチ）","フレンチ","◆テイクアウト　 （価格はすべて税別）
・パテドカンパーニュ(￥1480)
・お魚料理 (S￥2340 M￥3900)
・骨付きラムロースト(S￥2300 M￥4240)

※予約必須
※電話でのご予約をうけて、お作り致しますので、お早めのご予約をお願い致します。（前日のご予約をいただけたら、幸いです）
※いつものテイクアウト料理と別に週替わりのテイクアウト料理を作りお客様があきないように、心がけていきます。
※店内の御飲食も、前日の予約制です。
※ご予約入り次第、仕込みを致します。","大阪府豊中市新千里南町3-1-14 ナカニシビル","06-6319-9187","2020/04/13"
